Dates,ACD,AUX,Avail,Hold,Total,Staffed,Occupancy,Availability
Nov-08,118.75,158.66,239.33,52.66,569.40,550.03,58%,75%
Dec-08,170.81,224.27,308.36,87.34,790.77,743.44,61%,76%
Jan-09,145.52,213.69,348.96,62.96,771.12,745.00,55%,75%
Feb-09,157.62,188.34,296.13,57.72,699.80,674.02,58%,76%
Mar-09,195.31,214.47,388.41,79.92,878.11,841.51,56%,79%
Apr-09,162.99,206.68,206.68,66.59,642.93,799.95,68%,55%
May-09,140.23,191.59,191.59,59.75,583.16,756.29,67%,52%
Jun-09,161.90,168.30,459.30,72.72,862.22,826.58,47%,84%
Jul-09,155.31,254.32,608.39,68.78,1086.81,1047.30,44%,79%
Aug-09,143.11,204.07,532.20,66.70,946.08,901.87,44%,82%
Sep-09,143.42,211.35,531.47,63.48,949.72,911.05,44%,81%
Oct-09,142.64,215.98,503.20,62.00,923.83,883.06,46%,80%
Nov-09,122.53,193.51,430.65,55.31,802.01,769.85,46%,79%
Dec-09,171.15,218.12,440.84,72.74,902.85,849.88,51%,81%
Jan-10,160.43,230.64,403.58,60.51,855.16,812.00,53%,77%
Feb-10,155.49,226.94,437.22,57.66,877.32,845.16,50%,77%
Mar-10,175.95,283.24,579.10,78.08,1116.37,1070.59,48%,78%
Apr-10,164.95,275.43,553.95,76.03,1070.36,1024.50,48%,78%
May-10,129.47,215.14,530.56,51.82,926.98,897.31,43%,79%
Jun-10,134.38,233.42,568.98,52.17,988.96,960.70,42%,79%
Jul-10,122.92,253.58,544.26,50.14,970.90,947.47,44%,76%
Aug-10,122.02,253.59,569.42,48.49,993.52,974.29,43%,76%
Sep-10,137.20,212.90,492.58,57.58,900.26,869.89,45%,79%
Oct-10,172.59,391.03,292.54,80.58,936.73,753.83,69%,72%
Nov-10,164.50,387.52,311.75,85.07,948.84,762.83,67%,74%
Dec-10,203.71,376.46,265.95,101.75,947.86,857.00,72%,67%
Jan-11,197.12,334.76,229.28,98.60,859.77,716.00,73%,73%
Feb-11,190.43,372.00,271.70,98.31,932.44,759.00,71%,74%
Mar-11,212.58,443.39,312.20,95.64,1063.81,931.00,71%,67%
Apr-11,184.71,396.82,295.53,97.67,974.73,841.00,70%,69%
May-11,150.84,361.33,329.16,73.22,914.56,801.00,64%,69%
Jun-11,145.01,438.83,390.83,70.77,1045.44,934.00,63%,65%
Jul-11,158.18,361.98,292.77,76.56,889.49,772.00,67%,68%
Aug-11,200.66,382.36,320.66,88.97,992.66,851.00,68%,72%
Sep-11,155.01,369.75,312.88,76.79,914.43,797.00,66%,68%
Oct-11,158.19,332.28,250.71,72.64,813.82,707.83,69%,68%
Nov-11,134.33,304.26,237.28,58.63,734.51,651.83,68%,66%
Dec-11,149.28,303.83,204.11,79.47,736.69,619.83,72%,70%
Jan-12,141.21,245.95,186.27,59.25,632.69,502.00,71%,77%
Feb-12,144.41,315.70,237.53,70.91,768.55,654.00,69%,69%
Mar-12,164.08,367.77,256.21,72.60,860.66,737.00,70%,67%
Apr-12,153.21,359.42,277.75,72.37,862.75,747.83,68%,67%
May-12,131.72,375.43,312.93,69.81,889.89,769.00,65%,67%
Jun-12,122.76,372.17,294.94,80.24,870.11,825.00,66%,60%
Jul-12,147.91,434.27,327.26,96.68,1006.12,841.00,67%,68%
Aug-12,153.43,451.88,366.99,79.02,1051.33,915.00,65%,66%
Sep-12,142.53,409.96,304.91,84.67,942.07,791.00,68%,67%
Oct-12,166.21,447.49,357.04,88.65,1059.40,907.00,66%,67%
Nov-12,145.38,448.20,348.30,76.93,1018.80,801.00,66%,71%
Dec-12,176.21,388.93,226.93,113.26,905.34,682.00,75%,76%
Jan-13,195.48,406.83,246.86,128.31,977.48,760.00,75%,75%
Feb-13,199.41,379.37,208.80,106.29,893.87,707.00,77%,73%
Mar-13,167.80,400.63,242.09,105.49,916.01,748.00,74%,69%
Apr-13,188.33,436.00,296.36,127.70,1048.39,950.00,72%,64%
May-13,160.31,429.09,311.03,97.01,997.44,862.00,69%,66%
Jun-13,169.51,289.37,229.91,69.63,758.42,678.00,70%,69%
Jul-13,212.36,332.69,236.26,90.88,872.19,749.00,73%,72%
Aug-13,186.87,336.36,232.28,71.87,827.38,701.00,72%,70%
Sep-13,159.35,273.66,202.61,60.30,695.92,654.00,71%,65%
Oct-13,174.65,247.78,194.42,55.52,672.37,610.00,71%,70%
Nov-13,133.14,234.34,180.19,43.76,591.42,514.00,70%,69%
Dec-13,148.79,191.21,119.27,41.00,500.28,384.83,76%,80%
Jan-14,165.00,250.64,186.51,53.74,655.88,558.00,72%,73%
May-14,120.18,252.19,232.18,40.55,645.09,558.00,64%,70%
Jun-14,130.14,258.09,239.02,41.47,668.72,574.00,64%,72%
Jul-14,150.80,302.54,247.69,48.81,749.84,644.00,67%,69%
Aug-14,132.03,283.74,248.59,60.14,724.50,614.00,66%,72%
Sep-14,146.52,264.57,215.23,65.35,691.67,590.00,69%,72%
Oct-14,167.69,274.33,223.46,75.07,740.55,634.00,70%,74%
Nov-14,99.16,194.59,128.74,45.00,467.49,474.00,72%,58%
Dec-14,151.28,210.26,124.37,62.86,548.76,471.00,77%,72%
Jan-15,294.29,440.24,206.96,152.31,1093.80,930.00,81%,70%
Feb-15,296.88,401.43,210.10,213.35,1121.76,877.00,81%,82%
Mar-15,339.61,516.93,165.80,380.58,1402.91,1027.00,88%,86%
Apr-15,316.65,605.72,199.97,217.68,1340.00,1200.00,85%,61%
May-15,201.26,445.08,154.72,114.91,915.98,812.00,83%,58%
Jun-15,229.96,436.92,181.72,145.45,994.05,886.00,82%,63%
Jul-15,265.97,593.67,200.88,162.34,1222.85,1087.50,84%,58%
Aug-15,263.32,543.69,181.29,190.26,1178.57,994.50,85%,64%
Sep-15,253.07,436.15,188.66,153.20,1031.08,903.00,82%,66%
Oct-15,249.26,552.57,193.31,184.45,1179.59,1078.00,84%,58%
Nov-15,207.75,505.40,190.07,135.44,1038.66,986.50,82%,54%
Dec-15,311.93,504.39,189.24,197.85,1203.41,1030.50,84%,68%
Jan-16,250.90,460.21,170.70,150.18,1031.99,926.50,83%,62%
Feb-16,293.73,635.86,139.06,227.63,1296.28,1155.00,89%,57%
Mar-16,306.82,576.93,182.31,245.34,1311.40,1254.00,86%,59%
Apr-16,259.49,571.25,197.87,216.89,1245.50,1144.00,84%,59%
May-16,196.73,527.98,250.40,189.50,1164.61,1223.50,78%,52%
Jun-16,195.44,381.56,211.39,144.73,933.12,970.50,77%,57%
Jul-16,216.37,486.39,236.04,233.51,1172.31,1118.50,80%,61%
Aug-16,240.55,639.31,312.29,251.39,1443.54,1215.00,78%,66%
Sep-16,234.86,526.26,234.74,250.27,1246.13,1149.00,81%,63%
Oct-16,223.03,512.56,213.13,251.02,1199.73,1140.00,82%,60%
Nov-16,211.34,482.79,226.16,231.46,1151.75,1204.00,80%,56%
Dec-16,260.02,590.93,192.18,271.73,1314.86,1146.00,85%,63%
Jan-17,249.91,568.79,172.84,234.04,1225.59,1130.00,86%,58%
Feb-17,270.87,494.71,128.95,269.88,1164.42,1126.00,89%,59%
